,folder,filename,cosine similarity,sim_folder,sim_filename,euclidean distance,dist_folder,dist_filename
0,Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BRISTOL_MYERS_SQUIBB,BRISTOL_MYERS_SQUIBB_4.txt,0.78896046,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Khalid R. Alhooshani",Dr. Alhooshani curriculum vitae.docx,9.511607,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Khalid R. Alhooshani",Dr. Alhooshani curriculum vitae.docx
1,Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BRISTOL_MYERS_SQUIBB,BRISTOL_MYERS_SQUIBB_3.txt,0.86787415,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Boyd VSR_UG 2014",Draft Lucinda Boyd Award Letter.docx,8.174759,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Boyd VSR_UG 2014",Draft Lucinda Boyd Award Letter.docx
2,Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BRISTOL_MYERS_SQUIBB,BRISTOL_MYERS_SQUIBB_1.txt,0.908622,desktop_grubbs_assistant/2 RHG/Grants/USC Keck Aug 2015 copy/Ready for Keck,mark letter keck 2015.docx,6.3685365,desktop_grubbs_assistant/2 RHG/Grants/USC Keck Aug 2015 copy/Ready for Keck,mark letter keck 2015.docx
3,Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BRISTOL_MYERS_SQUIBB,BRISTOL_MYERS_SQUIBB_6.txt,0.6611235,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Edwards Postdoc 2018",CV_JulianEdwardsPhD.docx,12.274345,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Edwards Postdoc 2018",CV_JulianEdwardsPhD.docx
4,Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BRISTOL_MYERS_SQUIBB,BRISTOL_MYERS_SQUIBB_8.txt,0.8383535,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Edwards Postdoc 2018",CV_JulianEdwardsPhD.docx,8.462698,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Edwards Postdoc 2018",CV_JulianEdwardsPhD.docx
5,Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BRISTOL_MYERS_SQUIBB,BRISTOL_MYERS_SQUIBB_5.txt,0.75580806,desktop_grubbs_assistant/2 RHG/Grants/USC Keck Aug 2015 copy/Ready for Keck,mark letter keck 2015.docx,10.394518,desktop_grubbs_assistant/2 RHG/Grants/USC Keck Aug 2015 copy/Ready for Keck,mark letter keck 2015.docx
6,Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BRISTOL_MYERS_SQUIBB,BRISTOL_MYERS_SQUIBB_2.txt,0.8876166,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Fang_Lei Volunteer 2011",Lei Fang_CV.docx,7.081365,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Fang_Lei Volunteer 2011",Lei Fang_CV.docx
7,Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BRISTOL_MYERS_SQUIBB,BRISTOL_MYERS_SQUIBB_7.txt,0.65937304,desktop_grubbs_assistant/2 RHG/Grants/SkTech Proposal (USC) 2012,pub for SkTech USC proposal.docx,11.942252,desktop_grubbs_assistant/2 RHG/Grants/SkTech Proposal (USC) 2012,pub for SkTech USC proposal.docx
8,Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BRISTOL_MYERS_SQUIBB,BRISTOL_MYERS_SQUIBB_10.txt,0.854568,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Marx_pds_2011",vanessa marx offer .docx,8.042191,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Marx_pds_2011",vanessa marx offer .docx
9,Extracted-Text-from-Photographs/GrubbsRD_Consulting_Box_1/BRISTOL_MYERS_SQUIBB,BRISTOL_MYERS_SQUIBB_9.txt,0.74316144,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Siu Fong Lee 2014/Siu-Fung Lee student 2014 submitted",CV(updated).docx,10.425953,"desktop_grubbs_assistant/2 RHG/RHG Group/RHG Misc Postdoc""Visitors/Siu Fong Lee 2014/Siu-Fung Lee student 2014 submitted",CV(updated).docx
